REGIONS/COUNTRIES,Year,Sales
PALESTINE,2006,15700.0
PHILIPPINES,2006,38131.0
QATAR,2006,60100.0
SAUDI ARABIA,2006,401100.0
SINGAPORE,2006,116849.0
SOUTH KOREA,2006,932650.0
SRI LANKA,2006,2800.0
SYRIA,2006,45467.0
TADJIKISTAN,2006,5700.0
TAHITI,2006,5100.0
TAIWAN,2006,218610.0
THAILAND,2006,184544.0
TUKMENISTAN,2006,4200.0
UNITED ARAB EMIRATES,2006,150000.0
UZBEKISTAN,2006,31100.0
VIETNAM,2006,23335.0
YEMEN,2006,4700.0
AFRICA,2006,938739.0
ALGERIA,2006,81803.0
ANGOLA,2006,8000.0
BOTSWANA,2006,13073.0
BURKINA,2006,500.0
BURUNDI,2006,500.0
CAMEROON,2006,1400.0
CONGO,2006,200.0
EGYPT,2006,132373.0
GABON,2006,1000.0
GHANA,2006,3000.0
IVORY COAST,2006,2500.0
KENYA,2006,3000.0
LIBERIA,2006,200.0
LIBYA,2006,35000.0
MADAGASCAR,2006,1100.0
MALAWI,2006,1100.0
MAURITIUS,2006,3500.0
MOROCCO,2006,75295.0
NIGERIA,2006,22000.0
REUNION,2006,22437.0
SENEGAL,2006,3000.0
SOUTH AFRICA,2006,481558.0
SUDAN,2006,2000.0
TANZANIA,2006,2000.0
TUNISIA,2006,30000.0
UGANDA,2006,3500.0
ZAMBIA,2006,2700.0
ZIMBABWE,2006,6000.0
ALL COUNTRIES,2006,47727785.0
*only LV,2006,
EUROPE,2007,19618588.0
EU 28 countries + EFTA,2007,16147274.0
EU 15 countries + EFTA,2007,14842186.0
AUSTRIA,2007,298182.0
BELGIUM,2007,524795.0
DENMARK,2007,162686.0
FINLAND,2007,125608.0
FRANCE,2007,2109672.0
GERMANY,2007,3148163.0
GREECE,2007,279745.0
ICELAND,2007,15942.0
IRELAND,2007,186325.0
ITALY,2007,2494115.0
LUXEMBOURG,2007,51332.0
NETHERLANDS,2007,504300.0
NORWAY,2007,129195.0
PORTUGAL,2007,201816.0
SPAIN,2007,1614835.0
SWEDEN,2007,306794.0
SWITZERLAND (+FL),2007,284674.0
UNITED KINGDOM,2007,2404007.0
EUROPE NEW MEMBERS,2007,1305088.0
BULGARIA*,2007,43521.0
CROATIA,2007,82664.0
CYPRUS,2007,22878.0
CZECH REPUBLIC,2007,174456.0
ESTONIA,2007,30912.0
HUNGARY,2007,171661.0
LATVIA,2007,21606.0
LITHUANIA,2007,32771.0
MALTA,2007,6240.0
POLAND,2007,277427.0
ROMANIA,2007,312533.0
SLOVAKIA,2007,59700.0
SLOVENIA,2007,68719.0
"RUSSIA, TURKEY & OTHER EUROPE",2007,3471314.0
ALBANIA,2007,1600.0
ARMENIA,2007,6000.0
BELARUS,2007,20000.0
BOSNIA,2007,15000.0
GEORGIA,2007,6000.0
MACEDONIA,2007,10200.0
MOLDAVIA,2007,7000.0
RUSSIA,2007,2514920.0
SERBIA,2007,32772.0
TURKEY,2007,357465.0
UKRAINE,2007,500357.0
AMERICA,2007,12423199.0
NAFTA,2007,9045313.0
CANADA,2007,841585.0
MEXICO,2007,641394.0
UNITED STATES OF AMERICA,2007,7562334.0
CENTRAL & SOUTH AMERICA,2007,3377886.0
ARGENTINA,2007,422230.0
BAHAMAS,2007,2000.0
BELIZE,2007,100.0
BOLIVIA,2007,1500.0
BRAZIL,2007,1975518.0
CHILE,2007,180000.0
COLOMBIA,2007,200000.0
COSTA RICA,2007,13000.0
CUBA,2007,3000.0
DOMINICAN REPUBLIC,2007,18000.0
ECUADOR,2007,58334.0
EL SALVADOR,2007,8000.0
GUADELOUPE,2007,15539.0
GUATEMALA,2007,12100.0
GUYANA,2007,4437.0
HONDURAS,2007,7100.0
JAMAICA,2007,3000.0
MARTINIQUE,2007,14666.0
NICARAGUA,2007,6000.0
PANAMA,2007,22000.0
PARAGUAY,2007,6000.0
PERU,2007,28430.0
PUERTO RICO,2007,92000.0
TRINIDAD,2007,5000.0
URUGUAY,2007,12000.0
VENEZUELA,2007,267932.0
ASIA/OCEANIA/MIDDLE EAST,2007,17556195.0
AUSTRALIA,2007,637019.0
AZERBAIDJAN,2007,15000.0
BAHRAIN,2007,20000.0
BANGLADESH,2007,12000.0
BRUNEI,2007,10000.0
CAMBODGE,2007,1500.0
CHINA,2007,6297538.0
HONG-KONG,2007,33462.0
INDIA,2007,1511812.0
INDONESIA,2007,314769.0
IRAK,2007,4000.0
IRAN,2007,900000.0
ISRAEL,2007,200000.0
JAPAN,2007,4325508.0
JORDAN,2007,5000.0
KAZAKSTAN,2007,39500.0
KIRGHIZISTAN,2007,5000.0
KUWAIT,2007,70000.0
LAOS,2007,1500.0
LEBANON,2007,20000.0
MALAYSIA,2007,442885.0
MONGOLIA,2007,1000.0
MYANMAR,2007,1000.0
NEPAL,2007,2000.0
NEW CALEDONIA,2007,7717.0
NEW ZEALAND,2007,77454.0
OMAN,2007,146700.0
PAKISTAN,2007,159457.0
PALESTINE,2007,16400.0
PHILIPPINES,2007,41107.0
QATAR,2007,60700.0
SAUDI ARABIA,2007,404800.0
SINGAPORE,2007,110814.0
SOUTH KOREA,2007,1010790.0
SRI LANKA,2007,2900.0
SYRIA,2007,36000.0
TADJIKISTAN,2007,5800.0
TAHITI,2007,5400.0
TAIWAN,2007,213327.0
THAILAND,2007,172321.0
TUKMENISTAN,2007,4300.0
UNITED ARAB EMIRATES,2007,135000.0
UZBEKISTAN,2007,31700.0
VIETNAM,2007,40115.0
YEMEN,2007,4800.0
AFRICA,2007,954039.0
ALGERIA,2007,97239.0
ANGOLA,2007,3500.0
BOTSWANA,2007,16538.0
BURKINA,2007,500.0
BURUNDI,2007,600.0
CAMEROON,2007,1400.0
CONGO,2007,200.0
EGYPT,2007,179149.0
GABON,2007,1200.0
GHANA,2007,3500.0
IVORY COAST,2007,2000.0
KENYA,2007,2000.0
LIBERIA,2007,300.0
LIBYA,2007,36000.0
MADAGASCAR,2007,1100.0
MALAWI,2007,1100.0
MAURITIUS,2007,4000.0
MOROCCO,2007,90941.0
NIGERIA,2007,7000.0
REUNION,2007,24819.0
SENEGAL,2007,3000.0
SOUTH AFRICA,2007,434653.0
SUDAN,2007,2500.0
TANZANIA,2007,2000.0
TUNISIA,2007,30000.0
UGANDA,2007,3000.0
ZAMBIA,2007,2800.0
ZIMBABWE,2007,3000.0
ALL COUNTRIES,2007,50552021.0
*only LV,2007,
EUROPE,2008,18821599.0
EU 28 countries + EFTA,2008,14911880.0
EU 15 countries + EFTA,2008,13602038.0
AUSTRIA,2008,293697.0
BELGIUM,2008,535947.0
DENMARK,2008,150199.0
FINLAND,2008,139669.0
FRANCE,2008,2091369.0
GERMANY,2008,3090040.0
GREECE,2008,267295.0
ICELAND,2008,9033.0
IRELAND,2008,151607.0
ITALY,2008,2161359.0
LUXEMBOURG,2008,52359.0
NETHERLANDS,2008,499980.0
NORWAY,2008,110617.0
PORTUGAL,2008,213389.0
SPAIN,2008,1161176.0
SWEDEN,2008,253982.0
SWITZERLAND (+FL),2008,288525.0
UNITED KINGDOM,2008,2131795.0
EUROPE NEW MEMBERS,2008,1309842.0
BULGARIA*,2008,45143.0
CROATIA,2008,88265.0
CYPRUS,2008,22241.0
CZECH REPUBLIC,2008,182554.0
ESTONIA,2008,24579.0
HUNGARY,2008,153278.0
LATVIA,2008,22217.0
LITHUANIA,2008,19831.0
MALTA,2008,5423.0
POLAND,2008,319190.0
ROMANIA,2008,285506.0
SLOVAKIA,2008,70040.0
SLOVENIA,2008,71575.0
"RUSSIA, TURKEY & OTHER EUROPE",2008,3909719.0
ALBANIA,2008,1600.0
ARMENIA,2008,4000.0
BELARUS,2008,22000.0
BOSNIA,2008,13000.0
GEORGIA,2008,8000.0
MACEDONIA,2008,10500.0
MOLDAVIA,2008,11000.0
RUSSIA,2008,2897459.0
SERBIA,2008,36177.0
TURKEY,2008,305998.0
UKRAINE,2008,599985.0
AMERICA,2008,11744792.0
